NodeType	NodeID	X_Location	Y_Location	Z_Location	isIndoor
BS3	133	   537.505	   833.459	        25	         0
BS3	134	   537.505	   833.459	        25	         0
BS3	135	    2306.2	    -8.029	        25	         0
BS3	136	    2306.2	    -8.029	        25	         0
BS3	137	    2306.2	    -8.029	        25	         0
BS3	138	    1580.7	  -1056.23	        25	         0
BS3	139	    1580.7	  -1056.23	        25	         0
BS3	140	    1580.7	  -1056.23	        25	         0
BS3	141	   1132.27	  -1610.74	        25	         0
BS3	142	   1132.27	  -1610.74	        25	         0
BS3	143	   1132.27	  -1610.74	        25	         0
BS3	144	  -463.188	   -1553.4	        25	         0
BS3	145	  -463.188	   -1553.4	        25	         0
BS3	146	  -463.188	   -1553.4	        25	         0
BS3	147	  -1051.34	  -2000.31	        25	         0
BS3	148	  -1051.34	  -2000.31	        25	         0
BS3	149	  -1051.34	  -2000.31	        25	         0
BS3	150	  -1694.24	  -1084.76	        25	         0
BS3	151	  -1694.24	  -1084.76	        25	         0
BS3	152	  -1694.24	  -1084.76	        25	         0
BS3	153	  -1956.82	   473.858	        25	         0
BS3	154	  -1956.82	   473.858	        25	         0
BS3	155	  -1956.82	   473.858	        25	         0
BS3	156	  -1214.91	   764.342	        25	         0
BS3	157	  -1214.91	   764.342	        25	         0
BS3	158	  -1214.91	   764.342	        25	         0
BS3	159	  -1249.94	   1941.72	        25	         0
BS3	160	  -1249.94	   1941.72	        25	         0
BS3	161	  -1249.94	   1941.72	        25	         0
BS3	162	   226.474	   1312.35	        25	         0
BS3	163	   226.474	   1312.35	        25	         0
BS3	164	   226.474	   1312.35	        25	         0
BS3	165	   966.254	   2124.33	        25	         0
BS3	166	   966.254	   2124.33	        25	         0
BS3	167	   966.254	   2124.33	        25	         0
BS3	168	   1305.06	   1087.66	        25	         0
BS3	169	   1305.06	   1087.66	        25	         0
BS3	170	   1305.06	   1087.66	        25	         0
BS4	171	  -144.356	   181.227	        25	         0
BS4	172	  -144.356	   181.227	        25	         0
BS4	173	  -144.356	   181.227	        25	         0
BS4	174	   814.701	  -115.787	        25	         0
BS4	175	   814.701	  -115.787	        25	         0
BS4	176	   814.701	  -115.787	        25	         0
BS4	177	   117.839	  -676.351	        25	         0
BS4	178	   117.839	  -676.351	        25	         0
BS4	179	   117.839	  -676.351	        25	         0
BS4	180	  -180.386	  -1210.93	        25	         0
BS4	181	  -180.386	  -1210.93	        25	         0
BS4	182	  -180.386	  -1210.93	        25	         0
BS4	183	   -1181.8	   287.678	        25	         0
BS4	184	   -1181.8	   287.678	        25	         0
BS4	185	   -1181.8	   287.678	        25	         0
BS4	186	  -709.718	   505.693	        25	         0
BS4	187	  -709.718	   505.693	        25	         0
BS4	188	  -709.718	   505.693	        25	         0
BS4	189	   771.579	   1262.52	        25	         0
BS4	190	   771.579	   1262.52	        25	         0
BS4	191	   771.579	   1262.52	        25	         0
BS4	192	   2143.42	  -391.575	        25	         0
BS4	193	   2143.42	  -391.575	        25	         0
BS4	194	   2143.42	  -391.575	        25	         0
BS4	195	   1885.32	   -901.65	        25	         0
BS4	196	   1885.32	   -901.65	        25	         0
BS4	197	   1885.32	   -901.65	        25	         0
BS4	198	   738.103	  -1516.87	        25	         0
BS4	199	   738.103	  -1516.87	        25	         0
BS4	200	   738.103	  -1516.87	        25	         0
BS4	201	  -174.313	  -1788.41	        25	         0
BS4	202	  -174.313	  -1788.41	        25	         0
BS4	203	  -174.313	  -1788.41	        25	         0
BS4	204	  -1042.92	  -1614.09	        25	         0
BS4	205	  -1042.92	  -1614.09	        25	         0
BS4	206	  -1042.92	  -1614.09	        25	         0
BS4	207	  -1457.71	  -951.401	        25	         0
BS4	208	  -1457.71	  -951.401	        25	         0
BS4	209	  -1457.71	  -951.401	        25	         0
BS4	210	  -2342.23	   113.436	        25	         0
BS4	211	  -2342.23	   113.436	        25	         0
BS4	212	  -2342.23	   113.436	        25	         0
BS4	213	  -1205.25	   1227.84	        25	         0
BS4	214	  -1205.25	   1227.84	        25	         0
BS4	215	  -1205.25	   1227.84	        25	         0
BS4	216	  -613.005	   1612.35	        25	         0
BS4	217	  -613.005	   1612.35	        25	         0
BS4	218	  -613.005	   1612.35	        25	         0
BS4	219	   116.316	   2179.87	        25	         0
BS4	220	   116.316	   2179.87	        25	         0
BS4	221	   116.316	   2179.87	        25	         0
BS4	222	    1047.5	   2190.46	        25	         0
BS4	223	    1047.5	   2190.46	        25	         0
BS4	224	    1047.5	   2190.46	        25	         0
BS4	225	   1129.89	   646.991	        25	         0
BS4	226	   1129.89	   646.991	        25	         0
BS4	227	   1129.89	   646.991	        25	         0
UE1	228	  -389.714	   365.746	       1.5	         0
UE1	229	   214.785	   -11.632	       1.5	         0
UE1	230	   27.6273	  -213.066	       1.5	         0
UE1	231	  -55.3569	  -197.014	       1.5	         0
UE1	232	  -466.032	  -79.4118	       1.5	         0
UE1	233	  -23.0126	  -49.0641	       1.5	         0
UE1	234	   376.826	   90.2009	       1.5	         0
UE1	235	  -401.409	  -14.4643	       1.5	         0
UE1	236	   5.89599	  -175.564	       1.5	         0
UE1	237	   160.999	   729.905	       1.5	         0
UE1	238	  -564.923	   219.113	       1.5	         0
UE1	239	   330.811	   51.1767	       1.5	         0
UE1	240	   249.881	   665.994	       1.5	         0
UE1	241	  -128.474	   623.999	       1.5	         0
UE1	242	  -273.678	  -96.0164	       1.5	         0
UE1	243	  -358.907	   362.633	       1.5	         0
UE1	244	   46.5072	   30.4206	       1.5	         0
UE1	245	   168.706	  -23.3688	       1.5	         0
UE1	246	  -259.032	    765.04	       1.5	         0
UE1	247	  -667.565	   444.561	       1.5	         0
UE1	248	   -412.78	   353.673	       1.5	         0
UE1	249	  -413.614	    558.17	       1.5	         0
UE1	250	  -70.9493	   423.916	       1.5	         0
UE1	251	   444.528	   343.337	       1.5	         0
UE1	252	   8.93282	   140.803	       1.5	         0
UE1	253	   -262.32	 -0.605835	       1.5	         0
UE1	254	  -27.1619	  -107.711	       1.5	         0
UE1	255	  -51.6678	   871.786	       1.5	         0
UE1	256	  -365.061	    647.14	       1.5	         0
UE1	257	  -55.3729	   437.966	       1.5	         0
UE1	258	   261.568	   587.056	       1.5	         0
UE1	259	  -24.8227	   875.295	       1.5	         0
UE1	260	   43.7143	   320.542	       1.5	         0
UE1	261	  -417.017	   231.405	       1.5	         0
UE1	262	  -139.344	   255.136	       1.5	         0
UE1	263	  -85.8844	   582.583	       1.5	         0
UE1	264	  -190.494	   778.206	       1.5	         0
UE1	265	  -413.843	   76.9394	       1.5	         0
UE1	266	  -371.376	  -49.6032	       1.5	         0
UE1	267	  -465.958	   549.376	       1.5	         0
UE1	268	  -94.7198	   152.755	       1.5	         0
UE1	269	   208.147	   50.6652	       1.5	         0
UE1	270	  -191.025	   142.722	       1.5	         0
UE1	271	   -241.87	   360.263	       1.5	         0
UE1	272	  -486.508	   56.5548	       1.5	         0
UE1	273	   275.621	   601.103	       1.5	         0
UE1	274	  -149.502	   652.607	       1.5	         0
UE1	275	   -330.92	   125.118	       1.5	         0
UE1	276	  -315.377	   469.569	       1.5	         0
UE1	277	  -305.448	   272.094	       1.5	         0
UE1	278	   65.3599	   800.966	       1.5	         0
UE1	279	  -264.164	   694.784	       1.5	         0
UE1	280	   -563.81	   661.866	       1.5	         0
UE1	281	  -7.11003	    257.59	       1.5	         0
UE1	282	  -438.134	   248.365	       1.5	         0
UE1	283	  -423.185	   213.873	       1.5	         0
UE1	284	  -453.866	   523.194	       1.5	         0
UE1	285	   9.65264	   190.651	       1.5	         0
UE1	286	  -425.849	    197.89	       1.5	         0
UE1	287	   10.7074	   523.249	       1.5	         0
UE1	288	   155.141	   243.668	       1.5	         0
UE1	289	   53.3376	   124.515	       1.5	         0
UE1	290	  -485.927	   159.434	       1.5	         0
UE1	291	  -680.901	   425.447	       1.5	         0
UE1	292	  -165.656	    260.14	       1.5	         0
UE1	293	   343.715	   585.856	       1.5	         0
UE1	294	  -20.3765	  -17.3247	       1.5	         0
UE1	295	  -218.616	   562.071	       1.5	         0
UE1	296	  -224.857	   581.395	       1.5	         0
UE1	297	  -109.975	   860.688	       1.5	         0
