X,Y,RxPow
357.96,-652.61,-23.735
242.44,-1108.6,-40.749
61.335,-716.01,-39.156
-16.983,-737.17,-40.967
48.581,-1345.2,-36.296
455.36,-934.37,-15.459
-207.23,-857.35,-33.151
121.58,-1070.6,-39.671
901.76,-929.15,-36.645
71.114,-532.23,-41.189
608.07,-400.51,-39.842
353.01,-577.38,-32.391
671.41,-722.35,-18.133
-64.528,-1201.8,-43.445
435.08,-821.17,-13.232
420.67,-547.63,-33.697
618,-391.6,-41.256
-85.131,-956.59,-39.204
464.82,-309.5,-42.353
867.66,-713.56,-34.134
864.72,-1099,-36.965
686.45,-1040.3,-29.066
674.15,-1141.2,-32.89
212.79,-1389.1,-39.112
200.85,-837.3,-33.695
-81.769,-706.75,-40.706
779.48,-1080.9,-35.495
795.39,-1232,-38.516
722.49,-703.66,-21.71
472.32,-1051.4,-27.798
211.27,-892.39,-36.74
-123.18,-777.49,-37.656
373.1,-874.55,-20.038
293.86,-633.02,-29.838
679.75,-911.75,-22.262
869.86,-686.64,-34.417
206.53,-315.68,-38.739
216.25,-663.64,-34.582
220.06,-883.39,-33.367
894.28,-690.45,-36.406
644.33,-590.1,-35.602
259.89,-955.78,-28.879
515.5,-489.12,-35.398
628.43,-793.23,-15.542
890.72,-823.03,-35.568
11.806,-611.28,-39.942
854.81,-1050.3,-36.242
394.94,-321.82,-40.504
631.88,-1175.9,-34.013
818.01,-617.89,-34.436
479.89,-1031.9,-19.832
362.53,-1089.3,-32.234
491.21,-751.33,-15.984
138.49,-462.37,-41.512
553.46,-578.7,-30.978
122.91,-1066.7,-41.09
541.76,-1073.5,-21.733
292.52,-746.74,-21.887
353.66,-1215.1,-38.807
180.13,-392.74,-43.695
357.43,-385.12,-39.365
262.4,-630.58,-33.496
-38.017,-1042.8,-42.159
664.43,-654.01,-28.756
568.93,-770.57,-15.679
236.19,-325.34,-39.963
309.7,-756.69,-21.067
684.71,-708,-20.369
575.44,-583.11,-31.953
652.03,-784.75,-21.828
419.3,-1330.7,-41.628
-71.258,-1060.9,-40.547
779.19,-1201.6,-36.636
199.49,-1307.3,-40.504
349.57,-841.87,-26.101
-435.92,-414.91,-39.444
-491.72,-1242.5,-42.74
152.25,-1074.9,-41.485
-403.3,-629.24,-23.432
-80.292,-861.89,-40.085
-508.17,-1140.8,-37.226
-495.74,-1405.3,-42.836
-799.42,-848.61,-31.566
-482.36,-846.21,-15.39
-204.68,-697.22,-31.694
70.214,-1159.7,-42.544
-189.93,-1043.1,-35.481
-230.44,-1209.3,-39.469
-596.76,-1301,-42.688
-69.912,-819.81,-38.664
-283.87,-1223.6,-39.535
-154.34,-592.36,-37.206
-524.2,-1067.4,-33.11
-945,-940,-40.947
-688.06,-614.89,-36.436
-370.64,-805.44,-16.267
-541.81,-1463,-41.408
-377.71,-1168,-36.283
-593.77,-822.19,-18.351
-314.05,-502.68,-34.027
-589.83,-813.18,-1.1588
-661.75,-716.58,-26.672
-519.67,-675.49,-22.777
-695.56,-1419.4,-38.078
-346.45,-1409.2,-43.871
-676.18,-582.96,-35.833
4.6002,-865.73,-39.259
-11.313,-665.23,-41.75
-741.47,-1213.9,-37.895
-947.49,-1093.7,-43.566
-65.003,-552.17,-41.843
120.71,-836.79,-37.173
-601.46,-1397.9,-39.448
-213.47,-898.98,-31.496
-142.63,-1037.3,-38.239
-572.07,-1220.4,-33.025
-505.86,-830.86,-16.632
-598.44,-1367,-42.601
-482.03,-594.2,-33.718
-445.5,-1054.2,-29.172
-275.55,-873.71,-25.072
-513.37,-1049.8,-31.731
-857.3,-1110.3,-40.305
-410.08,-1165.2,-37.222
-543.28,-647.14,-26.801
-181,-602.54,-34.749
-167.78,-849.71,-38.312
-556.69,-454.87,-39.979
-78.464,-979.71,-39.63
-94.924,-1381.3,-41.398
-783.22,-1081.1,-36.16
-428.59,-364.62,-40.806
-907.85,-1163.5,-40.29
-719.21,-1354.7,-37.494
-483.83,-595.34,-30.551
-108.53,-1100.4,-39.821
-750.35,-678.43,-33.443
-921.07,-699.29,-38.582
-439.95,-683.72,-28.532
-110.66,-585.45,-39.177
-708.11,-868.83,-26.74
-12.93,-775.39,-40.474
-742.33,-866.19,-26.532
-417.57,-539.85,-32.401
-477.72,-1091.5,-34.965
-574.9,-699,-19.83
-746.37,-1216.1,-40.869
-308.99,-697.02,-21.81
-900.67,-1097,-41.819
111.4,-793.9,-36.721
-174.03,-409.31,-39.546
-244.54,-512.06,-36.999
-858.38,-930.13,-31.447
-885.68,-1080.7,-41.368
-236.45,-1373.7,-43.883
-619.35,-713.04,-20.887
-24.15,-976.09,-40.304
-286.27,-1295,-41.706
-364.02,-1054.5,-32.344
-83.013,-1164.1,-40.393
-239.51,-685.03,-30.314
-495.83,-1421.4,-39.967
-41.632,-1340.8,-41.969
-48.345,-1042.7,-41.003
-415.82,-1498.4,-43.3
-430.13,-369.22,-40.702
-39.349,-1061.8,-39.507
-784.23,-963.14,-36.772
-271.03,-856,-25.528
-304.14,-391.39,-36.022
-395.34,-1371.2,-40.841
-139.12,-507.25,-39.191
150.51,-804.7,-33.158
-184.28,-446.58,-40.372
-239.29,-911.16,-30.166
-582.51,-142.77,-39.384
-1444.2,-231.55,-41.346
-703.55,-309.95,-40.801
-1480.6,-258.43,-41.825
-1166.8,260.23,-34.791
-1102.7,437.47,-40.168
-936.2,448.27,-36.465
-1186.3,624.95,-40.597
-743.66,258.7,-33.054
-1168.6,-98.628,-28.38
-1511.7,388.75,-38.652
-732.49,-55.784,-32.306
-814.91,-37.345,-26.454
-1339.3,-72.867,-38.28
-1142.3,485.23,-40.825
-1336,136.15,-38.808
-1208.2,164.37,-34.137
-847.48,-120.24,-26.224
-697.89,-68.112,-36.789
-831.91,236.03,-23.527
-1321.1,-168.11,-39.724
-1359.7,-365.47,-42.962
-800.53,-410.21,-39.709
-1042.1,-475.4,-42.117
-1359.7,332.76,-40.723
-576.96,160.04,-38.745
-1228.6,622.95,-36.638
-985.87,333.97,-31.657
-978.22,572.97,-40.339
-1484.4,84.322,-41.95
-1237.9,617,-39.513
-1227.2,-384.36,-41.247
-645.91,164.05,-37.876
-517.41,-17.5,-39.68
-953.97,153.05,-15.348
-1043.8,560.9,-40.512
-1555.5,344.29,-41.254
-1363.4,18.218,-37.136
-915.41,-190.41,-28.157
-940.64,306.59,-24.414
-1115.2,-174.92,-33.487
-998.67,75.194,-11.937
-943.51,290.56,-25.201
-1076,429.54,-40.97
-589.19,-10.086,-39.106
-874.69,-142.49,-25.893
-1206.3,-342.64,-41.086
-596.23,-30.467,-39.19
-781.43,547.87,-37.229
-1149.8,-204.78,-36.516
-518.06,96.266,-39.391
-713.95,-11.08,-32.514
-846.99,-257.77,-29.861
-1296.3,-351.26,-41.698
-958.81,-439.91,-42.265
-736.97,-157.15,-35.631
-540.1,177.32,-41.344
-1325.8,21.081,-36.79
-671.38,380.7,-37.267
-1223.4,8.402,-29.588
-1456.7,10.347,-39.621
-1232.6,305.36,-37.683
-759.7,95.216,-30.566
-846.97,23.358,-18.129
-1077.2,549.17,-40.57
-1335.2,215.21,-39.575
-1331.4,-178.93,-38.721
-1250.3,-283.64,-40.855
-832.49,-163.81,-29.119
-823.85,469.31,-36.903
-1029.2,211.33,-18.867
-962.09,320.71,-29.125
-600.97,-15.64,-37.826
-1213.1,154.78,-31.785
-1651.5,90.746,-38.835
-1028.1,143.77,-19.46
-1436.3,265.36,-40.08
-1085.5,453.83,-40.552
-996.63,-181.58,-25.212
-1181.9,-2.2832,-24.401
-1011.4,21.124,-6.3358
-1219.1,466.67,-38.641
-1555,393.52,-40.559
-772.7,60.701,-28.634
-1197.7,265.52,-37.677
