NodeType	NodeID	X_Location	Y_Location	Z_Location	isIndoor
BS3	136	   1944.83	   -264.33	        25	         0
BS3	137	   1944.83	   -264.33	        25	         0
BS3	138	   1658.08	  -965.153	        25	         0
BS3	139	   1658.08	  -965.153	        25	         0
BS3	140	   1658.08	  -965.153	        25	         0
BS3	141	   1032.84	  -2051.65	        25	         0
BS3	142	   1032.84	  -2051.65	        25	         0
BS3	143	   1032.84	  -2051.65	        25	         0
BS3	144	   19.3854	  -1984.71	        25	         0
BS3	145	   19.3854	  -1984.71	        25	         0
BS3	146	   19.3854	  -1984.71	        25	         0
BS3	147	  -766.413	  -1821.63	        25	         0
BS3	148	  -766.413	  -1821.63	        25	         0
BS3	149	  -766.413	  -1821.63	        25	         0
BS3	150	  -1262.41	  -617.992	        25	         0
BS3	151	  -1262.41	  -617.992	        25	         0
BS3	152	  -1262.41	  -617.992	        25	         0
BS3	153	  -1803.42	  -175.443	        25	         0
BS3	154	  -1803.42	  -175.443	        25	         0
BS3	155	  -1803.42	  -175.443	        25	         0
BS3	156	  -1294.59	   1021.44	        25	         0
BS3	157	  -1294.59	   1021.44	        25	         0
BS3	158	  -1294.59	   1021.44	        25	         0
BS3	159	  -1309.07	   1779.76	        25	         0
BS3	160	  -1309.07	   1779.76	        25	         0
BS3	161	  -1309.07	   1779.76	        25	         0
BS3	162	  -51.3376	   1622.13	        25	         0
BS3	163	  -51.3376	   1622.13	        25	         0
BS3	164	  -51.3376	   1622.13	        25	         0
BS3	165	   1066.55	    1701.9	        25	         0
BS3	166	   1066.55	    1701.9	        25	         0
BS3	167	   1066.55	    1701.9	        25	         0
BS3	168	   1436.53	   732.764	        25	         0
BS3	169	   1436.53	   732.764	        25	         0
BS3	170	   1436.53	   732.764	        25	         0
BS4	171	   37.4695	   176.059	        25	         0
BS4	172	   37.4695	   176.059	        25	         0
BS4	173	   37.4695	   176.059	        25	         0
BS4	174	   980.769	  -297.645	        25	         0
BS4	175	   980.769	  -297.645	        25	         0
BS4	176	   980.769	  -297.645	        25	         0
BS4	177	   804.141	  -742.187	        25	         0
BS4	178	   804.141	  -742.187	        25	         0
BS4	179	   804.141	  -742.187	        25	         0
BS4	180	  -525.646	   -747.76	        25	         0
BS4	181	  -525.646	   -747.76	        25	         0
BS4	182	  -525.646	   -747.76	        25	         0
BS4	183	  -1129.14	  -145.467	        25	         0
BS4	184	  -1129.14	  -145.467	        25	         0
BS4	185	  -1129.14	  -145.467	        25	         0
BS4	186	  -422.093	   890.935	        25	         0
BS4	187	  -422.093	   890.935	        25	         0
BS4	188	  -422.093	   890.935	        25	         0
BS4	189	   806.717	   779.041	        25	         0
BS4	190	   806.717	   779.041	        25	         0
BS4	191	   806.717	   779.041	        25	         0
BS4	192	   2176.09	   229.365	        25	         0
BS4	193	   2176.09	   229.365	        25	         0
BS4	194	   2176.09	   229.365	        25	         0
BS4	195	   1405.67	  -907.639	        25	         0
BS4	196	   1405.67	  -907.639	        25	         0
BS4	197	   1405.67	  -907.639	        25	         0
BS4	198	   1179.15	  -1544.35	        25	         0
BS4	199	   1179.15	  -1544.35	        25	         0
BS4	200	   1179.15	  -1544.35	        25	         0
